"LAD23NM","No_Companies","GVA","Turnover","Employees","InnovateFunding","DealroomFunding"
"Orkney Islands",17,11114500.910430001,10106083,177,27012138,28860000.37
"Oxford",73,167206402.25175,575959647,2170,15339885,176540002.123
"Pembrokeshire",41,9536809.70719,11644588,134,0,31319999.69
"Pendle",21,173137982.36101,283335781,1191,0,0
"Perth and Kinross",96,977469110.22658,14996816101,15131,4726131,1400280000.001
"Peterborough",37,49188376.55544,62520069,373,177732,0
"Plymouth",46,12182614.01561,20840121,134,2675255,1460000.038
"Portsmouth",30,8664812.56787,16962479,159,0,0
"Powys",54,34549048.00636,106363865,623,0,0
"Preston",54,91447450.15428,1172210112,1430,10000,4500000
"Reading",81,1318372322.74233,18920771737,8660,9963136,517979995.57100004
"Redbridge",74,18731845.27095,51973212,357,389155,5590000.153
"Redcar and Cleveland",19,17196081.88721,393479567,238,840159,44230000.5
"Redditch",10,17777352.35617,51853977,223,0,0
"Reigate and Banstead",43,121204947.91882,202173744,1171,262334,3789999.962
"Renfrewshire",38,39548145.49354,128295522,716,0,0
"Rhondda Cynon Taf",26,207355105.24929002,838521100,1997,403152,2359999.895
"Ribble Valley",15,11415791.40198,20762746,151,21072,0
"Richmond upon Thames",65,8925942.07247,13534630,192,219890,0
"Rochdale",36,15879758.851990001,196602062,222,0,0
"Rochford",25,5534170.0208600005,8052884,37,0,0
"Rossendale",10,5462420.3227,7099774,66,49448,0
"Rother",26,7524876.86909,11305262,141,5985,0
"Rotherham",46,41361724.11592,174796809,673,376560,230000.00400000002
"Rugby",60,246302110.76869,1140396286,3815,20038116,0
"Runnymede",22,173863787.14152,568238055,1412,74981,0
"Rushcliffe",21,7153082.65818,34694639,105,0,0
"Rushmoor",27,109521622.78802,2125378534,1051,49982,0
"Rutland",6,1296896.04052,1763737,34,0,0
"Salford",77,52026864.59365,291784385,777,1228266,1110000.014
"Sandwell",43,49659113.99338,321146046,711,0,4400000.095000001
"Scottish Borders",23,4437319.79791,6899180,72,0,0
"Sefton",38,15385977.34491,25436189,240,2817879,5199999.809
"Sevenoaks",49,101599412.39463,283066905,676,5000,0
"Sheffield",104,176582125.69368,198714959,2178,12906249,495269990.05200005
"Shetland Islands",8,2637435.29876,4975846,15,46880,0
"Shropshire",116,70789597.29003,272126485,1259,188396,0
"Slough",30,15024744.16508,32214568,213,75475,0
"Solihull",56,109171301.68864,603882721,1120,868156,200000.003
"Somerset",257,244534662.32779,2081747738,3482,3174698,2390000.105
"South Ayrshire",25,17197246.76788,60969307,285,249321,0
"South Cambridgeshire",80,60013888.92765,361808911,780,11242963,190499997.779
"South Derbyshire",8,2446273.43506,4345473,42,0,0
"South Gloucestershire",91,121269581.35775,2889390227,2764,499584,6870000.273
"South Hams",22,4437292.33306,4708800,66,166748,0
"South Holland",22,14144815.6021,43430790,180,0,500000
"South Kesteven",38,85953895.76075,212397368,1238,92311,0
"South Lanarkshire",98,75321152.56142,388409200,855,122963,29809999.943
"South Norfolk",35,47447358.57513,95475100,742,2483772,61259998.32
"South Oxfordshire",54,86425658.84817,664641290,1327,5510548,29810000.033
"South Ribble",29,5234105.24795,8834045,70,0,0
"South Staffordshire",20,21546249.36685,79673169,186,0,2019999.9809999997
"South Tyneside",12,8363835.744700001,5153967,117,0,0
"Southampton",29,9301166.14004,16415541,135,4663630,23580000.402
"Southend-on-Sea",49,13077103.091980001,19963232,158,0,0
"Southwark",182,1597122280.69781,6823523167,15835,6527091,250360001.38
"Spelthorne",17,4154740.17737,13653614,63,384462,5530000.21
"St Albans",85,66844459.69542,96185096,806,5412062,14960000.098
"St. Helens",29,13634063.84058,22602620,189,480000,0
"Stafford",34,104491153.66261001,727167588,1442,652669,0
"Staffordshire Moorlands",23,4303594.84484,8420176,70,0,0
"Stevenage",10,1421670.87624,2438235,28,0,0
"Stirling",30,6627222.371710001,16977554,126,148174,0
